iteration,steps,env_steps,internal_ticks,score_red
429,70,70,600,75.0
430,78,78,600,69.0
431,114,114,600,57.0
432,110,110,600,60.0
433,68,68,600,87.0
434,144,144,600,63.0
435,88,88,600,90.0
436,302,302,600,42.0
437,376,376,600,27.0
438,85,85,600,66.0
439,72,72,600,78.0
440,77,77,600,75.0
441,92,92,600,69.0
442,74,74,600,81.0
443,87,87,600,81.0
444,94,94,600,81.0
445,80,80,600,75.0
446,80,80,600,69.0
447,73,73,600,81.0
448,90,90,600,69.0
449,86,86,601,72.0
450,77,77,600,71.0
451,126,126,600,63.0
452,84,84,601,84.0
453,86,86,600,66.0
454,76,76,601,69.0
455,82,82,600,63.0
456,70,70,600,72.0
457,73,73,600,69.0
458,87,87,600,45.0
459,130,130,600,66.0
460,79,79,600,78.0
461,75,75,600,81.0
462,81,81,600,84.0
463,83,83,600,81.0
464,56,56,600,54.0
465,82,82,601,75.0
466,90,90,600,60.0
467,73,73,600,54.0
468,228,228,600,54.0
469,98,98,600,69.0
470,82,82,600,63.0
471,100,100,600,60.0
472,88,88,600,81.0
473,82,82,600,63.0
474,82,82,600,81.0
475,77,77,600,63.0
476,99,99,600,72.0
477,74,74,600,84.0
478,93,93,600,81.0
479,73,73,600,75.0
480,98,98,600,69.0
481,94,94,600,78.0
482,81,81,600,81.0
483,95,95,600,75.0
484,71,71,600,78.0
485,63,63,600,63.0
486,78,78,600,87.0
487,342,342,600,57.0
488,84,84,600,81.0
489,113,113,601,78.0
490,60,60,600,90.0
491,73,73,600,57.0
492,139,139,600,72.0
493,63,63,600,72.0
494,90,90,600,81.0
495,87,87,600,75.0
496,80,80,600,72.0
497,66,66,600,69.0
498,85,85,600,75.0
499,74,74,601,80.0
500,74,74,600,78.0
501,95,95,600,75.0
502,62,62,600,72.0
503,85,85,601,90.0
504,113,113,600,57.0
505,76,76,600,75.0
506,81,81,600,84.0
507,66,66,600,57.0
508,83,83,600,87.0
509,100,100,601,78.0
510,89,89,600,75.0
511,72,72,600,81.0
512,448,448,600,33.0
513,76,76,600,72.0
514,219,219,600,51.0
515,87,87,600,78.0
516,70,70,600,87.0
517,76,76,600,75.0
518,81,81,600,81.0
519,383,383,600,51.0
520,69,69,600,81.0
521,91,91,600,84.0
522,106,106,600,42.0
523,87,87,600,63.0
524,84,84,600,66.0
525,83,83,600,66.0
526,70,70,600,66.0
527,87,87,600,66.0
528,72,72,600,66.0
529,96,96,600,78.0
530,333,333,600,39.0
531,80,80,600,66.0
532,93,93,600,84.0
533,70,70,600,54.0
534,84,84,600,75.0
535,70,70,601,69.0
536,151,151,600,69.0
537,146,146,600,57.0
538,77,77,601,66.0
539,71,71,600,90.0
540,85,85,600,54.0
541,82,82,600,72.0
542,75,75,600,66.0
543,67,67,600,69.0
544,138,138,600,48.0
545,71,71,600,60.0
546,79,79,600,84.0
547,96,96,600,72.0
548,73,73,600,89.0
549,79,79,600,69.0
550,247,247,600,66.0
551,78,78,600,72.0
552,79,79,601,78.0
553,77,77,600,69.0
554,92,92,601,78.0
555,73,73,600,72.0
556,84,84,600,69.0
557,77,77,600,54.0
558,104,104,600,57.0
559,89,89,601,72.0
560,94,94,600,69.0
561,65,65,600,63.0
562,82,82,600,72.0
563,69,69,600,75.0
564,64,64,600,69.0
565,83,83,600,72.0
566,75,75,600,75.0
567,73,73,600,69.0
568,83,83,600,54.0
569,75,75,600,78.0
570,69,69,600,69.0
571,65,65,600,81.0
572,93,93,600,69.0
573,84,84,600,69.0
574,119,119,600,75.0
575,76,76,601,66.0
576,85,85,600,84.0
577,86,86,600,84.0
578,78,78,601,87.0
579,69,69,600,66.0
580,75,75,600,87.0
581,81,81,600,66.0
582,112,112,600,78.0
583,146,146,600,60.0
584,99,99,600,57.0
585,102,102,600,75.0
586,75,75,600,81.0
587,82,82,600,84.0
588,62,62,600,75.0
589,72,72,600,75.0
590,84,84,600,69.0
591,69,69,600,69.0
592,68,68,600,90.0
593,94,94,600,78.0
594,171,171,600,72.0
595,79,79,600,66.0
596,105,105,600,78.0
597,63,63,600,75.0
598,124,124,600,78.0
599,188,188,600,66.0
600,69,69,600,72.0
601,78,78,600,81.0
602,116,116,600,92.0
603,74,74,600,72.0
604,216,216,600,51.0
605,65,65,601,78.0
606,102,102,601,69.0
607,108,108,601,84.0
608,88,88,600,84.0
609,81,81,600,87.0
610,271,271,601,54.0
611,115,115,601,81.0
612,85,85,600,84.0
613,329,329,600,42.0
614,95,95,600,60.0
615,487,487,600,27.0
616,74,74,601,72.0
617,75,75,600,78.0
618,87,87,600,75.0
619,95,95,600,84.0
620,66,66,600,90.0
621,279,279,600,54.0
622,129,129,600,78.0
623,85,85,600,75.0
624,99,99,600,78.0
625,114,114,600,81.0
626,75,75,600,69.0
627,76,76,600,63.0
628,71,71,600,78.0
629,82,82,600,75.0
630,66,66,600,66.0
631,91,91,600,62.0
632,73,73,600,69.0
633,73,73,600,69.0
634,106,106,600,81.0
635,73,73,600,72.0
636,66,66,600,48.0
637,77,77,600,87.0
638,87,87,601,99.0
639,70,70,600,87.0
640,84,84,601,69.0
641,75,75,600,63.0
642,400,400,601,39.0
643,68,68,600,66.0
644,75,75,600,78.0
645,79,79,600,69.0
646,100,100,600,72.0
647,63,63,600,81.0
648,91,91,600,90.0
649,101,101,600,87.0
650,78,78,600,75.0
651,69,69,600,63.0
652,91,91,601,84.0
653,103,103,600,69.0
654,73,73,600,75.0
655,76,76,600,66.0
656,85,85,600,90.0
657,91,91,600,66.0
658,75,75,601,69.0
659,113,113,600,66.0
660,76,76,600,69.0
661,83,83,600,80.0
662,84,84,600,66.0
663,64,64,600,81.0
664,69,69,600,45.0
665,93,93,600,75.0
666,141,141,600,78.0
667,304,304,600,63.0
668,91,91,600,63.0
669,114,114,600,72.0
670,111,111,600,81.0
671,79,79,600,63.0
672,73,73,600,81.0
673,80,80,600,69.0
674,69,69,600,78.0
675,71,71,600,75.0
676,67,67,600,93.0
677,82,82,600,81.0
678,75,75,600,66.0
679,69,69,600,90.0
680,237,237,600,51.0
681,82,82,600,57.0
682,86,86,600,78.0
