iteration,steps,env_steps,internal_ticks,score_red
647,85,85,601,81.0
648,141,141,600,66.0
649,82,82,600,57.0
650,84,84,600,60.0
651,142,142,600,39.0
652,173,173,600,42.0
653,104,104,600,69.0
654,225,225,600,27.0
655,102,102,600,63.0
656,194,194,600,30.0
657,83,83,600,57.0
658,87,87,600,66.0
659,78,78,600,60.0
660,84,84,600,39.0
661,78,78,600,66.0
662,65,65,600,45.0
663,186,186,600,36.0
664,77,77,601,74.0
665,184,184,600,68.0
666,189,189,600,23.0
667,133,133,600,69.0
668,98,98,601,69.0
669,222,222,600,24.0
670,105,105,600,54.0
671,78,78,600,69.0
672,129,129,600,66.0
673,89,89,600,42.0
674,89,89,600,84.0
675,84,84,600,66.0
676,93,93,600,63.0
677,76,76,600,66.0
678,89,89,600,69.0
679,77,77,600,69.0
680,118,118,601,57.0
681,187,187,600,27.0
682,66,66,600,51.0
683,74,74,600,69.0
684,112,112,600,57.0
685,174,174,600,57.0
686,91,91,600,81.0
687,91,91,600,84.0
688,92,92,600,84.0
689,73,73,600,83.0
690,77,77,600,48.0
691,84,84,600,51.0
692,137,137,601,33.0
693,99,99,601,60.0
694,79,79,601,57.0
695,77,77,601,57.0
696,267,267,601,24.0
697,68,68,600,84.0
698,88,88,600,69.0
699,187,187,600,36.0
700,66,66,600,78.0
701,118,118,600,15.0
702,185,185,600,32.0
703,93,93,600,69.0
704,78,78,600,54.0
705,93,93,600,57.0
706,190,190,600,45.0
707,118,118,600,33.0
708,185,185,600,48.0
709,168,168,600,39.0
710,101,101,600,51.0
711,161,161,600,75.0
712,194,194,600,30.0
713,79,79,600,54.0
714,130,130,600,54.0
715,195,195,600,42.0
716,148,148,600,51.0
717,81,81,600,69.0
718,85,85,600,69.0
719,104,104,600,72.0
720,93,93,600,78.0
721,132,132,600,63.0
722,112,112,601,69.0
723,88,88,600,69.0
724,82,82,600,57.0
725,186,186,600,30.0
726,87,87,600,60.0
727,73,73,600,60.0
728,202,202,600,36.0
729,81,81,600,75.0
730,110,110,600,51.0
731,94,94,600,63.0
732,77,77,600,60.0
733,175,175,600,53.0
734,92,92,600,75.0
735,236,236,600,27.0
736,114,114,600,66.0
737,91,91,600,51.0
738,82,82,600,71.0
739,81,81,600,51.0
740,243,243,600,42.0
741,110,110,600,42.0
742,87,87,600,66.0
743,92,92,600,75.0
744,190,190,600,39.0
745,147,147,600,45.0
746,72,72,600,69.0
747,84,84,600,66.0
748,151,151,600,54.0
749,139,139,600,36.0
750,236,236,600,39.0
751,151,151,600,39.0
752,79,79,600,63.0
753,92,92,600,78.0
754,84,84,600,57.0
755,211,211,600,42.0
756,162,162,600,42.0
757,189,189,600,44.0
758,96,96,600,69.0
759,76,76,600,39.0
760,140,140,601,42.0
761,78,78,600,66.0
762,92,92,600,57.0
763,88,88,600,51.0
764,105,105,600,66.0
765,71,71,601,54.0
766,92,92,600,63.0
767,153,153,600,45.0
768,89,89,600,72.0
769,94,94,600,54.0
770,142,142,600,54.0
771,81,81,600,75.0
772,95,95,600,51.0
773,166,166,600,33.0
774,96,96,600,72.0
775,84,84,600,60.0
776,93,93,600,69.0
777,85,85,600,78.0
778,122,122,600,57.0
779,88,88,600,63.0
780,83,83,600,78.0
781,181,181,600,32.0
782,282,282,600,47.0
783,222,222,600,27.0
784,94,94,600,66.0
785,157,157,600,60.0
786,83,83,600,54.0
787,101,101,600,45.0
788,217,217,600,42.0
789,87,87,600,57.0
790,150,150,600,39.0
791,96,96,600,75.0
792,96,96,600,78.0
793,77,77,600,63.0
794,90,90,600,36.0
795,82,82,600,90.0
796,80,80,600,60.0
797,73,73,600,54.0
798,74,74,600,33.0
799,61,61,600,48.0
800,173,173,601,30.0
801,151,151,600,42.0
802,97,97,601,69.0
803,146,146,600,65.0
804,183,183,601,21.0
805,97,97,601,63.0
806,84,84,601,69.0
807,81,81,600,48.0
808,81,81,600,63.0
809,78,78,600,75.0
810,137,137,600,48.0
811,76,76,600,69.0
812,86,86,600,60.0
813,87,87,600,51.0
814,102,102,600,90.0
815,84,84,600,48.0
816,80,80,600,54.0
817,76,76,600,75.0
818,176,176,600,33.0
819,77,77,600,66.0
820,195,195,600,33.0
821,89,89,601,66.0
822,99,99,600,51.0
823,204,204,600,36.0
824,89,89,600,54.0
825,92,92,600,62.0
826,96,96,600,69.0
827,96,96,600,51.0
828,115,115,600,57.0
829,81,81,600,54.0
830,117,117,600,63.0
831,222,222,600,39.0
832,64,64,600,84.0
833,74,74,601,63.0
834,85,85,600,60.0
835,85,85,600,75.0
836,70,70,600,42.0
837,88,88,600,48.0
838,77,77,600,42.0
839,102,102,600,63.0
840,78,78,600,72.0
841,244,244,600,45.0
842,97,97,600,54.0
843,88,88,600,78.0
844,87,87,600,69.0
845,74,74,601,60.0
846,75,75,600,57.0
847,75,75,600,57.0
848,176,176,600,38.0
849,111,111,601,60.0
850,87,87,600,60.0
851,89,89,600,66.0
852,152,152,600,39.0
853,99,99,600,62.0
854,109,109,600,81.0
855,252,252,600,60.0
856,73,73,601,72.0
857,93,93,601,51.0
858,89,89,601,51.0
859,87,87,600,63.0
860,84,84,600,57.0
861,133,133,601,39.0
862,87,87,600,72.0
863,86,86,600,63.0
864,98,98,600,60.0
865,100,100,600,66.0
866,81,81,600,72.0
867,92,92,600,45.0
868,80,80,600,63.0
869,121,121,600,54.0
870,76,76,600,51.0
871,111,111,600,54.0
872,87,87,600,48.0
873,146,146,600,39.0
874,247,247,600,33.0
875,181,181,600,42.0
876,150,150,600,33.0
877,78,78,600,69.0
878,86,86,600,39.0
879,82,82,600,81.0
880,81,81,600,75.0
881,72,72,600,72.0
882,77,77,600,78.0
883,96,96,600,72.0
884,100,100,600,81.0
885,61,61,600,60.0
886,108,108,600,63.0
887,83,83,600,60.0
888,70,70,600,72.0
889,82,82,600,51.0
890,97,97,600,54.0
891,76,76,601,60.0
892,77,77,600,60.0
893,80,80,600,54.0
894,80,80,600,78.0
895,194,194,601,42.0
896,90,90,600,54.0
897,99,99,600,69.0
898,96,96,600,57.0
